timestamp,gpu_power_w
1780035545.6574714,33.23
1780035545.6638277,33.208
1780035545.6690876,33.221
1780035545.674499,33.233
1780035545.6798437,33.246
1780035545.6856647,34.003
1780035545.6915872,34.017
1780035545.6976151,34.031
1780035545.7035182,34.043
1780035545.7090068,34.057
1780035545.7147365,34.069
1780035545.7202702,34.079
1780035545.7258134,34.091
1780035545.7314343,34.104
1780035545.736801,34.113
1780035545.742391,34.13
1780035545.7476735,34.144
1780035545.753099,34.172
1780035545.7586608,34.175
1780035545.7643316,34.176
1780035545.7699752,34.176
1780035545.7754815,34.184
1780035545.7808473,34.185
1780035545.7863271,34.182
1780035545.7921355,34.184
1780035545.7975028,34.185
1780035545.802833,34.181
1780035545.808053,34.183
1780035545.8137217,34.184
1780035545.8191488,34.179
1780035545.8244777,34.18
1780035545.8298633,34.179
1780035545.8352914,34.177
1780035545.8407571,34.177
1780035545.8460734,34.175
1780035545.8514662,34.174
1780035545.8568475,34.175
1780035545.8620462,34.172
1780035545.8676965,34.172
1780035545.873153,34.174
1780035545.8784814,34.169
1780035545.883861,34.17
1780035545.8893065,34.171
1780035545.8947184,34.167
1780035545.9001021,34.168
1780035545.9055505,34.169
1780035545.910871,34.165
1780035545.9162636,34.166
1780035545.9216752,34.168
1780035545.926898,34.163
1780035545.9325044,34.164
1780035545.9379141,34.161
1780035545.9432664,34.161
1780035545.9485493,34.162
1780035545.9541862,34.157
1780035545.9595451,34.159
1780035545.9649265,34.159
1780035545.9703279,34.156
1780035545.9757473,34.157
1780035545.9811208,34.159
1780035545.986481,34.156
1780035545.9919055,34.156
1780035545.997331,34.158
1780035546.0026836,34.152
1780035546.0080495,34.153
1780035546.0132143,34.153
1780035546.0188193,34.151
1780035546.0241363,34.153
1780035546.029677,34.15
1780035546.0351825,34.148
1780035546.0405426,34.149
1780035546.0460043,34.146
1780035546.0515692,34.149
1780035546.0572941,34.152
1780035546.0626967,34.148
1780035546.0681334,34.149
1780035546.0735657,34.15
1780035546.0788848,34.146
1780035546.0843382,34.147
1780035546.0896707,34.148
1780035546.0949025,34.144
1780035546.1005352,34.145
1780035546.1059518,34.143
1780035546.1113195,34.142
1780035546.1167247,34.143
1780035546.12218,34.142
1780035546.1275613,34.143
1780035546.1329048,34.144
1780035546.1383727,34.142
1780035546.1437237,34.142
1780035546.1491115,34.144
1780035546.1545012,34.141
1780035546.1599631,34.142
1780035546.1653419,34.144
1780035546.1707256,34.143
1780035546.176046,34.144
1780035546.1812878,34.143
1780035546.186913,34.144
1780035546.1923668,34.145
1780035546.1977851,34.144
1780035546.2031248,34.145
1780035546.2084792,34.146
1780035546.2139113,34.142
1780035546.2193084,34.143
1780035546.22476,34.144
1780035546.2300951,34.144
1780035546.2355268,34.148
1780035546.2408757,34.152
1780035546.246323,34.148
1780035546.2517562,34.149
1780035546.257129,34.145
1780035546.2624702,34.146
1780035546.2677133,34.147
1780035546.2734098,34.143
1780035546.2790413,34.144
1780035546.284876,34.145
1780035546.2901866,34.14
1780035546.295535,34.141
1780035546.3009093,34.142
1780035546.3063722,34.139
1780035546.3119807,34.139
1780035546.3179216,34.141
1780035546.3231862,34.137
1780035546.3285823,34.137
1780035546.3346398,34.134
1780035546.339965,34.134
1780035546.345358,34.135
1780035546.3507638,34.132
1780035546.3561332,34.132
1780035546.3615108,34.133
1780035546.3669128,34.13
1780035546.372373,34.131
