timestamp,gpu_power_w
1780035675.5209432,33.109
1780035675.5265048,33.087
1780035675.5321112,33.098
1780035675.5374606,33.109
1780035675.542881,33.119
1780035675.5483582,33.131
1780035675.55402,33.143
1780035675.5600631,33.154
1780035675.5659723,33.166
1780035675.5719166,33.177
1780035675.5774155,33.189
1780035675.5830805,33.199
1780035675.58878,33.211
1780035675.5946834,33.22
1780035675.599915,33.233
1780035675.6053941,33.243
1780035675.6107688,34.0
1780035675.6161623,34.019
1780035675.6215558,34.021
1780035675.626888,34.025
1780035675.6323125,34.027
1780035675.6377187,34.028
1780035675.643171,34.023
1780035675.648917,34.025
1780035675.6548135,34.025
1780035675.6605117,34.026
1780035675.6659746,34.025
1780035675.6713157,34.022
1780035675.6767488,34.023
1780035675.6821315,34.023
1780035675.6875703,34.024
1780035675.692884,34.019
1780035675.6982927,34.02
1780035675.7036936,34.02
1780035675.7091177,34.02
1780035675.7145572,34.021
1780035675.7202706,34.016
1780035675.7265248,34.015
1780035675.7326758,34.014
1780035675.7385764,34.016
1780035675.7439492,34.012
1780035675.7493455,34.013
1780035675.754771,34.013
1780035675.760146,34.013
1780035675.7655332,34.009
1780035675.770903,34.009
1780035675.7763386,34.009
1780035675.7817473,34.009
1780035675.787172,34.009
1780035675.7925403,34.005
1780035675.7979324,34.006
1780035675.803361,34.006
1780035675.80878,34.006
1780035675.8140924,34.002
1780035675.819528,34.003
1780035675.8249283,34.003
1780035675.8303597,34.003
1780035675.8357751,34.005
1780035675.8414466,34.0
1780035675.8477407,34.001
1780035675.8536956,34.0
1780035675.859246,34.001
1780035675.864491,33.252
1780035675.8698804,33.253
1780035675.875294,33.253
1780035675.880675,33.253
1780035675.886059,33.249
1780035675.8912122,33.25
1780035675.8969338,33.251
1780035675.9023025,33.251
1780035675.9076967,33.252
1780035675.9131165,33.248
1780035675.9185398,33.248
1780035675.9246848,33.248
1780035675.9306157,33.249
1780035675.935964,33.244
1780035675.9413707,33.244
1780035675.947042,33.245
1780035675.9528563,33.245
1780035675.9581804,33.246
1780035675.9635308,33.241
1780035675.968926,33.241
1780035675.9743094,33.241
1780035675.9796712,33.242
1780035675.9848685,33.238
1780035675.9905186,33.238
1780035675.9958954,33.239
1780035676.0013082,33.239
1780035676.0067737,33.237
1780035676.0121236,33.235
1780035676.017537,33.236
1780035676.0229461,33.236
1780035676.0283704,33.237
1780035676.0337317,33.234
1780035676.039795,33.235
1780035676.0458415,33.235
1780035676.0511794,33.236
1780035676.0564768,33.231
1780035676.061645,33.232
1780035676.0672884,33.232
1780035676.072667,33.232
1780035676.0781586,33.233
1780035676.0835783,33.229
1780035676.0891886,33.23
1780035676.0950606,33.231
1780035676.1003258,33.231
1780035676.1056776,33.227
1780035676.1111495,33.228
1780035676.1167538,33.227
1780035676.1225846,33.228
1780035676.1279204,33.227
1780035676.1333246,33.225
1780035676.1387756,33.226
1780035676.1443858,33.226
1780035676.1503274,33.227
1780035676.155593,33.223
1780035676.1609745,33.224
1780035676.1663866,33.225
1780035676.171746,33.225
1780035676.177174,33.22
1780035676.1824808,33.221
1780035676.1877987,33.221
1780035676.1934896,33.222
1780035676.198799,33.222
1780035676.204108,33.217
1780035676.2095048,33.218
1780035676.214992,33.219
1780035676.2203882,33.219
1780035676.225832,33.219
1780035676.231148,33.216
1780035676.2364974,33.217
1780035676.241931,33.217
1780035676.2473676,33.218
1780035676.2527854,33.214
1780035676.2584112,33.214
1780035676.2643676,33.214
1780035676.2701433,33.215
1780035676.275538,33.211
1780035676.2808757,33.211
1780035676.2860544,33.212
1780035676.2916963,33.212
1780035676.2971299,33.213
1780035676.3025124,33.209
1780035676.3079028,33.21
1780035676.3133433,33.21
1780035676.3187997,33.211
1780035676.3241427,33.206
1780035676.3295417,33.207
1780035676.334913,33.208
1780035676.3403523,33.208
1780035676.3457456,33.209
1780035676.3514638,33.205
1780035676.3578565,33.205
1780035676.36379,33.205
1780035676.3691611,33.206
1780035676.3745477,33.201
1780035676.3802667,33.201
1780035676.386042,33.202
1780035676.391312,33.202
1780035676.3966894,33.199
1780035676.4020956,33.199
1780035676.4075902,33.199
1780035676.4131877,33.2
1780035676.4190888,33.2
1780035676.4243302,33.197
1780035676.429746,33.197
1780035676.4351747,33.198
1780035676.4405553,33.198
1780035676.445981,33.194
1780035676.4513178,33.194
1780035676.4567204,33.195
1780035676.4621418,33.195
1780035676.4675786,33.196
1780035676.4729474,33.191
1780035676.4783463,33.192
1780035676.4836934,33.192
1780035676.489137,33.192
1780035676.494611,33.192
1780035676.5002942,33.189
1780035676.50655,33.189
1780035676.5122743,33.189
1780035676.518037,33.19
