timestamp,gpu_power_w
1780035914.3577542,27.006
1780035914.3635612,27.003
1780035914.3687994,27.014
1780035914.374184,27.023
1780035914.379498,27.034
1780035914.384992,27.043
1780035914.390837,27.054
1780035914.3971562,27.068
1780035914.4030614,27.077
1780035914.4084604,27.09
1780035914.4138398,27.097
1780035914.4199092,27.108
1780035914.4255762,27.117
1780035914.4311876,27.127
1780035914.436894,27.136
1780035914.442806,27.145
1780035914.4482949,27.155
1780035914.453781,27.164
1780035914.4594488,27.174
1780035914.464829,27.187
1780035914.4702544,27.208
1780035914.4756298,27.224
1780035914.4809494,27.225
1780035914.4862306,27.224
1780035914.4918072,27.224
1780035914.4972,27.222
1780035914.5026822,27.222
1780035914.508077,27.221
1780035914.5133898,27.22
1780035914.5188274,27.221
1780035914.5241718,27.218
1780035914.5293806,27.219
1780035914.5349734,27.219
1780035914.5401735,27.218
1780035914.5460615,27.217
1780035914.551946,27.216
1780035914.557219,27.214
1780035914.5626137,27.214
1780035914.5680745,27.214
1780035914.5733697,27.212
1780035914.5785584,27.212
1780035914.5841832,27.212
1780035914.5895789,27.211
1780035914.595018,27.21
1780035914.600748,27.209
1780035914.6065447,27.208
1780035914.6118414,27.208
1780035914.617222,27.207
1780035914.622659,27.209
1780035914.6280134,27.208
1780035914.6333728,27.207
1780035914.638859,27.206
1780035914.6449864,27.206
1780035914.6505451,27.205
1780035914.6564488,27.205
1780035914.6621912,27.205
1780035914.667629,27.206
1780035914.6729772,27.207
1780035914.6781788,27.206
1780035914.6837919,27.205
1780035914.689564,27.204
1780035914.6959786,27.203
1780035914.7018912,27.203
1780035914.7072637,27.203
1780035914.7125876,27.203
1780035914.7179837,27.203
1780035914.7235162,27.202
1780035914.72944,27.201
1780035914.7351213,27.199
1780035914.7408657,27.197
1780035914.7462866,27.196
1780035914.7517416,27.196
1780035914.7570362,27.198
1780035914.7624273,27.2
1780035914.7677877,27.201
1780035914.7731793,27.2
1780035914.7788637,27.199
1780035914.7847703,27.199
1780035914.7900221,27.198
1780035914.7954059,27.198
1780035914.800872,27.198
1780035914.806188,27.197
1780035914.811605,27.198
1780035914.816963,27.198
1780035914.822161,27.197
1780035914.8278105,27.196
1780035914.8335428,27.195
1780035914.8393319,27.194
1780035914.8446395,27.195
1780035914.8500156,27.194
1780035914.85558,27.194
1780035914.861483,27.193
1780035914.8675287,27.192
1780035914.873496,27.192
1780035914.878867,27.191
1780035914.884238,27.19
1780035914.8896775,27.19
1780035914.895006,27.191
1780035914.9005635,27.191
1780035914.905982,27.195
1780035914.911788,27.199
1780035914.9172027,27.199
1780035914.9226215,27.198
1780035914.9287372,27.197
1780035914.93476,27.196
1780035914.9400806,27.197
1780035914.9454992,27.194
1780035914.95083,27.196
1780035914.9561913,27.195
1780035914.9615827,27.195
1780035914.9672697,27.194
1780035914.9731584,27.193
1780035914.978425,27.192
1780035914.9838204,27.192
1780035914.98928,27.193
1780035914.99457,27.191
1780035914.9997847,27.191
1780035915.005368,27.19
1780035915.010568,27.19
1780035915.0161915,27.189
1780035915.021907,27.188
1780035915.0277176,27.187
1780035915.0329797,27.188
1780035915.0381885,27.185
1780035915.0438955,27.187
1780035915.049218,27.187
1780035915.0545595,27.186
1780035915.0597622,27.185
1780035915.0653746,27.185
1780035915.0709233,27.184
1780035915.0764494,27.184
1780035915.082254,27.184
1780035915.0876281,27.182
1780035915.0931184,27.184
1780035915.098424,27.183
1780035915.1037722,27.183
1780035915.1090186,27.182
1780035915.1145992,27.181
