timestamp,gpu_power_w
1780037777.983591,50.129
1780037777.9887962,50.142
1780037777.9944499,50.142
1780037777.9999013,50.146
1780037778.0051901,50.15
1780037778.0104446,50.154
1780037778.015988,50.158
1780037778.021248,50.162
1780037778.0267947,50.165
1780037778.0320528,50.17
1780037778.0376306,50.173
1780037778.0428889,50.177
1780037778.0483868,50.18
1780037778.053642,50.185
1780037778.059237,50.189
1780037778.064686,50.193
1780037778.0699966,50.196
1780037778.075267,50.2
1780037778.0808392,50.204
1780037778.0862925,50.208
1780037778.0915978,50.211
1780037778.0968502,50.215
1780037778.1024048,50.218
1780037778.1076653,50.222
1780037778.113243,50.225
1780037778.1184943,50.229
1780037778.124046,50.233
1780037778.1294951,50.236
1780037778.1347992,50.239
1780037778.1400628,50.243
1780037778.1455927,50.247
1780037778.1508496,50.25
1780037778.1564367,50.253
1780037778.1618595,50.251
1780037778.1678958,50.248
1780037778.1737266,50.246
1780037778.179448,50.248
1780037778.1853588,50.25
1780037778.1914988,50.25
1780037778.19742,50.249
1780037778.2033994,50.249
1780037778.2095003,50.249
1780037778.2153752,50.249
1780037778.2214024,50.248
1780037778.2273436,50.248
1780037778.233447,50.248
1780037778.239358,50.247
1780037778.2455368,50.247
1780037778.2512758,50.245
1780037778.2574613,50.244
1780037778.2635012,50.244
1780037778.269498,50.243
1780037778.275476,50.241
1780037778.2814178,50.24
1780037778.2873511,50.239
1780037778.293455,50.239
1780037778.2993844,50.238
1780037778.3054347,50.237
1780037778.3113952,50.236
1780037778.31744,50.235
1780037778.3235028,50.234
1780037778.3294153,50.233
1780037778.3354926,50.232
1780037778.3414004,50.231
1780037778.3475237,50.231
1780037778.3534975,50.23
1780037778.359524,50.229
1780037778.3654807,50.228
1780037778.37148,50.227
1780037778.3773947,50.226
1780037778.383397,50.225
1780037778.3893971,50.225
1780037778.3955092,50.224
1780037778.4013946,50.223
1780037778.4073458,50.222
1780037778.4129524,50.221
1780037778.418727,50.221
1780037778.4245667,50.22
1780037778.4302573,50.219
1780037778.4362545,50.218
1780037778.4422152,50.218
1780037778.4482434,50.217
1780037778.4542546,50.217
1780037778.4602966,50.215
1780037778.466261,50.215
1780037778.4722376,50.214
1780037778.478254,50.214
1780037778.484251,50.213
1780037778.4902148,50.211
1780037778.4962444,50.211
1780037778.5021155,50.21
1780037778.5082505,50.21
1780037778.514212,50.209
1780037778.5201294,50.209
1780037778.5261564,50.207
1780037778.5322845,50.207
1780037778.5381575,50.206
1780037778.5442715,50.205
1780037778.550147,50.204
1780037778.5562534,50.203
1780037778.5621896,50.203
1780037778.5683138,50.203
1780037778.574128,50.201
1780037778.5802438,50.201
1780037778.5862987,50.2
1780037778.59224,50.199
1780037778.5982277,50.198
1780037778.6042435,50.198
1780037778.6102462,50.197
1780037778.6162317,50.196
1780037778.6222804,50.196
1780037778.6281033,50.195
1780037778.634277,50.194
1780037778.6403337,50.194
1780037778.6463037,50.193
1780037778.6522114,50.193
1780037778.6582549,50.192
1780037778.6641848,50.192
1780037778.6702175,50.192
1780037778.6762643,50.191
1780037778.682167,50.191
1780037778.688254,50.191
1780037778.694266,50.19
1780037778.7002625,50.189
1780037778.7061586,50.189
1780037778.7122636,50.189
1780037778.718146,50.188
1780037778.724271,50.187
1780037778.7302496,50.187
1780037778.7362416,50.186
1780037778.742191,50.186
1780037778.7482722,50.186
1780037778.7542043,50.185
1780037778.7602034,50.184
1780037778.7662215,50.183
1780037778.7722232,50.182
1780037778.7782385,50.183
1780037778.78423,50.182
1780037778.7902515,50.182
1780037778.796197,50.181
1780037778.8022625,50.18
1780037778.8082037,50.18
1780037778.8141863,50.179
1780037778.8202355,50.179
1780037778.826184,50.178
1780037778.8322637,50.178
1780037778.8382316,50.178
1780037778.844237,50.177
1780037778.8501747,50.177
1780037778.8562853,50.176
1780037778.8622122,50.176
1780037778.8682194,50.175
1780037778.8742325,50.175
1780037778.8802571,50.174
1780037778.8862786,50.173
1780037778.8922386,50.174
1780037778.898276,50.173
1780037778.9042122,50.172
1780037778.9102917,50.172
1780037778.9162416,50.172
1780037778.9222686,50.171
1780037778.9282422,50.171
1780037778.9341323,50.17
1780037778.9402776,50.17
1780037778.946264,50.169
1780037778.9522824,50.169
1780037778.958245,50.168
1780037778.9642696,50.168
1780037778.970281,50.167
1780037778.9761913,50.167
1780037778.9822738,50.167
1780037778.9881895,50.166
1780037778.9941957,50.166
1780037779.0002995,50.166
1780037779.0061612,50.165
1780037779.0122983,50.165
1780037779.0182672,50.164
1780037779.0242324,50.164
1780037779.0302536,50.164
1780037779.036121,50.164
1780037779.0422688,50.163
1780037779.0481882,50.163
1780037779.054214,50.163
1780037779.0601819,50.162
1780037779.066133,50.162
1780037779.072323,50.161
1780037779.0781958,50.162
1780037779.0842965,50.161
1780037779.090252,50.161
1780037779.0961404,50.16
1780037779.102278,50.16
1780037779.1082563,50.16
1780037779.1142366,50.16
1780037779.1202564,50.159
1780037779.126266,50.159
1780037779.1322951,50.158
1780037779.138248,50.158
1780037779.144199,50.158
1780037779.1502638,50.157
1780037779.1561882,50.157
1780037779.1623752,50.157
1780037779.1682475,50.156
1780037779.1741383,50.157
1780037779.1802845,50.156
1780037779.1862416,50.156
1780037779.1922596,50.155
1780037779.198262,50.155
1780037779.2041922,50.155
1780037779.2102737,50.155
1780037779.2162743,50.155
1780037779.222278,50.155
1780037779.2282908,50.155
1780037779.2341983,50.154
1780037779.2401202,50.154
1780037779.2462912,50.153
1780037779.2521915,50.153
1780037779.2581644,50.153
1780037779.2637389,50.153
1780037779.2694356,50.152
1780037779.275243,50.152
1780037779.2811058,50.152
1780037779.287024,50.151
1780037779.2929754,50.151
1780037779.2989626,50.151
1780037779.3045628,50.151
1780037779.3105438,50.151
1780037779.3163214,50.15
1780037779.3219564,50.15
1780037779.3277695,50.149
1780037779.3338623,50.149
1780037779.3397665,50.15
1780037779.345804,50.149
1780037779.3519282,50.148
1780037779.3578634,50.148
1780037779.363771,50.148
1780037779.3699143,50.147
1780037779.3758755,50.148
1780037779.3817525,50.147
1780037779.387915,50.147
1780037779.3939016,50.147
1780037779.3997188,50.147
1780037779.4059122,50.147
1780037779.4118323,50.147
1780037779.4177911,50.147
1780037779.4239426,50.146
1780037779.4298644,50.145
1780037779.4357324,50.146
1780037779.4418998,50.146
1780037779.4479105,50.146
1780037779.4537647,50.146
1780037779.4599488,50.146
1780037779.4658794,50.146
1780037779.4718013,50.145
1780037779.477923,50.144
1780037779.4838438,50.145
1780037779.4897187,50.145
1780037779.4958825,50.145
1780037779.5019119,50.145
1780037779.5078373,50.144
1780037779.513833,50.145
1780037779.5198693,50.144
1780037779.5257924,50.143
1780037779.5317173,50.143
1780037779.5379038,50.143
1780037779.543774,50.143
1780037779.5499246,50.143
1780037779.555875,50.143
1780037779.561819,50.143
1780037779.5677373,50.142
1780037779.5739257,50.142
1780037779.5798607,50.142
1780037779.5857358,50.142
1780037779.591942,50.142
1780037779.597895,50.142
1780037779.6037507,50.142
1780037779.6098902,50.142
1780037779.6158924,50.142
1780037779.6218233,50.141
1780037779.6277359,50.141
1780037779.633917,50.141
1780037779.639798,50.141
1780037779.6457477,50.141
1780037779.6519296,50.141
1780037779.6577148,50.141
1780037779.6637778,50.141
1780037779.6699293,50.141
