timestamp,gpu_power_w
1780220970.967259,34.135
1780220970.9734056,34.12
1780220970.9787629,34.131
1780220970.9843423,34.141
1780220970.989653,34.153
1780220970.995251,34.166
1780220971.001163,34.177
1780220971.0064094,34.192
1780220971.0118263,34.202
1780220971.017984,34.219
1780220971.0238676,34.23
1780220971.029234,34.244
1780220971.0346081,34.255
1780220971.0400367,35.013
1780220971.0454311,35.024
1780220971.050831,35.038
1780220971.0562067,35.051
1780220971.0614378,35.073
1780220971.0671096,35.077
1780220971.0724392,35.083
1780220971.0778298,35.084
1780220971.083218,35.082
1780220971.0886202,35.083
1780220971.0938127,35.085
1780220971.0994666,35.081
1780220971.1055968,35.082
1780220971.1115694,35.08
1780220971.1169293,35.081
1780220971.122311,35.082
1780220971.127741,35.079
1780220971.1331613,35.08
1780220971.1385233,35.082
1780220971.1438622,35.077
1780220971.149162,35.077
1780220971.154786,35.078
1780220971.1607962,35.073
1780220971.1668332,35.073
1780220971.1721892,35.07
1780220971.1774938,35.07
1780220971.1829383,35.073
1780220971.188358,35.07
1780220971.1937487,35.07
1780220971.1991801,35.07
1780220971.2046084,35.066
1780220971.2102199,35.067
1780220971.216191,35.068
1780220971.2222352,35.062
1780220971.2281368,35.063
1780220971.2333739,35.063
1780220971.238729,35.059
1780220971.2440968,35.058
1780220971.2496512,35.058
1780220971.2556849,35.053
1780220971.2617285,35.054
1780220971.2670012,35.05
1780220971.2723966,35.05
1780220971.2777784,35.051
1780220971.2831345,35.047
1780220971.2883139,35.047
1780220971.2939575,35.048
1780220971.2991855,35.043
1780220971.3051038,35.044
1780220971.3109565,35.045
1780220971.3162327,35.039
1780220971.3216543,35.04
1780220971.3270392,35.036
1780220971.3323846,35.038
1780220971.337591,35.038
1780220971.3432782,35.034
1780220971.3486316,35.036
1780220971.353984,35.036
1780220971.359164,35.032
1780220971.3651292,35.033
1780220971.3710384,35.034
1780220971.376277,35.03
1780220971.3816915,35.03
1780220971.3871608,35.029
1780220971.39273,35.028
1780220971.3986225,35.028
1780220971.4038987,35.024
1780220971.409313,35.025
1780220971.4147627,35.025
1780220971.4201055,35.022
1780220971.425569,35.023
1780220971.4308858,35.023
1780220971.4362931,35.019
1780220971.4417021,35.02
1780220971.4471815,35.022
