timestamp,gpu_power_w
1780221098.5540252,34.027
1780221098.5596554,34.01
1780221098.5655193,34.028
1780221098.5712435,34.038
1780221098.5765877,34.05
1780221098.5819583,34.059
1780221098.5874355,34.071
1780221098.593094,34.083
1780221098.5990465,34.093
1780221098.604551,34.106
1780221098.6102178,34.118
1780221098.615896,34.129
1780221098.621831,34.139
1780221098.6270633,34.152
1780221098.6324828,34.162
1780221098.6379254,34.177
1780221098.6432567,34.188
1780221098.6487076,34.208
1780221098.6541822,34.212
1780221098.6594884,34.215
1780221098.6648796,34.217
1780221098.6703415,34.218
1780221098.6756983,34.217
1780221098.681146,34.216
1780221098.6865354,34.217
1780221098.6919417,34.218
1780221098.6973076,34.219
1780221098.7027547,34.216
1780221098.7081325,34.217
1780221098.7135203,34.218
1780221098.718877,34.219
1780221098.7243135,34.216
1780221098.729748,34.217
1780221098.7351718,34.218
1780221098.7405944,34.219
1780221098.7466028,34.22
1780221098.7519252,34.215
1780221098.7573614,34.216
1780221098.7627878,34.218
1780221098.768166,34.219
1780221098.773604,34.215
1780221098.7788992,34.216
1780221098.7842233,34.217
1780221098.7898574,34.217
1780221098.7957191,34.219
1780221098.8011115,34.214
1780221098.8065526,34.215
1780221098.8122816,34.216
1780221098.81811,34.217
1780221098.823422,34.213
1780221098.8288286,34.214
1780221098.8341844,34.215
1780221098.8396375,34.216
1780221098.8450608,34.217
1780221098.8504162,34.213
1780221098.8557458,34.214
1780221098.8613756,34.215
1780221098.866918,34.216
1780221098.872608,34.212
1780221098.8779705,34.213
1780221098.8833685,34.214
1780221098.8885994,34.215
1780221098.8943048,34.215
1780221098.8996692,34.211
1780221098.9052854,34.212
1780221098.911173,34.213
1780221098.9164238,34.215
1780221098.921825,34.209
1780221098.9272785,34.21
1780221098.9326386,34.21
1780221098.9381125,34.211
1780221098.9434175,34.211
1780221098.94882,34.209
1780221098.95423,34.21
1780221098.9597015,34.21
1780221098.9650536,34.212
1780221098.9704769,34.207
1780221098.9758074,34.208
1780221098.9812639,34.209
1780221098.986843,34.209
1780221098.9926963,34.206
1780221098.9980848,34.205
1780221099.0034873,34.206
1780221099.0089211,34.207
1780221099.0142696,34.208
1780221099.0197263,34.204
1780221099.0250409,34.204
1780221099.030493,34.205
1780221099.0358825,34.206
1780221099.0413127,34.202
1780221099.046627,34.203
1780221099.0518131,34.204
1780221099.05741,34.205
1780221099.0625796,34.206
1780221099.0682094,34.203
1780221099.0734177,34.204
1780221099.0790234,34.204
1780221099.0841935,34.205
1780221099.089981,34.204
1780221099.0953734,34.203
1780221099.1007056,34.204
1780221099.1061094,34.204
1780221099.1116087,34.206
1780221099.116986,34.201
1780221099.1223218,34.202
1780221099.127717,34.203
1780221099.1331015,34.204
1780221099.138304,34.201
1780221099.1438835,34.201
1780221099.1490824,34.203
1780221099.1548567,34.203
1780221099.1602094,34.205
1780221099.165687,34.199
1780221099.1716142,34.2
1780221099.1769984,34.201
1780221099.18239,34.202
1780221099.1878161,34.198
1780221099.1934366,34.199
1780221099.1993182,34.2
1780221099.2051609,34.201
1780221099.2105758,34.202
1780221099.2159483,34.197
1780221099.2213345,34.197
1780221099.2267373,34.197
1780221099.2319775,34.197
1780221099.237559,34.193
1780221099.2427661,34.194
1780221099.2483604,34.195
1780221099.2535696,34.195
1780221099.259303,34.196
1780221099.264659,34.192
1780221099.2702544,34.193
1780221099.276173,34.194
1780221099.2814384,34.195
1780221099.286778,34.19
1780221099.291955,34.191
1780221099.2975879,34.192
1780221099.3027613,34.193
1780221099.3084877,34.194
1780221099.3138938,34.192
1780221099.3192487,34.194
1780221099.324691,34.197
1780221099.33005,34.2
1780221099.335467,34.196
1780221099.340869,34.197
1780221099.3463027,34.198
1780221099.351668,34.199
1780221099.3571208,34.2
1780221099.3624544,34.195
1780221099.3679693,34.196
1780221099.3732834,34.196
1780221099.3787267,34.197
1780221099.3843017,34.193
1780221099.390151,34.194
1780221099.3954842,34.195
1780221099.4008582,34.196
1780221099.4062383,34.196
1780221099.4116287,34.192
1780221099.4168718,34.192
1780221099.4224565,34.193
1780221099.4278603,34.194
1780221099.433235,34.189
1780221099.4384143,34.19
1780221099.444045,34.19
1780221099.4492426,34.191
1780221099.4549017,34.192
1780221099.4603255,34.188
1780221099.4656906,34.188
1780221099.4710755,34.189
1780221099.4765136,34.19
1780221099.4819386,34.186
1780221099.48726,34.187
1780221099.4924414,34.188
1780221099.498085,34.188
1780221099.5033035,34.19
1780221099.5088923,34.186
1780221099.5140774,34.187
1780221099.519745,34.188
1780221099.5251653,34.189
1780221099.5305123,34.186
1780221099.5359232,34.186
1780221099.541312,34.186
1780221099.5467155,34.187
1780221099.552125,34.188
1780221099.5573354,34.184
1780221099.562929,34.185
1780221099.5681717,34.186
1780221099.5737607,34.187
1780221099.579162,34.184
1780221099.584557,34.184
1780221099.5899496,34.185
1780221099.5953448,34.185
1780221099.6005757,34.187
1780221099.6061544,34.182
1780221099.61169,34.183
1780221099.6170893,34.182
1780221099.6231956,34.183
1780221099.6289976,34.178
1780221099.6345446,34.179
1780221099.6400166,34.179
1780221099.6460578,34.18
1780221099.6518548,34.182
1780221099.6572208,34.176
1780221099.662581,34.176
1780221099.6677806,34.177
1780221099.6734867,34.178
1780221099.678854,34.174
1780221099.6842132,34.175
1780221099.6896207,34.176
1780221099.6949806,34.176
1780221099.7001872,34.178
1780221099.7057848,34.174
1780221099.7109668,34.175
1780221099.716595,34.175
1780221099.7217953,34.176
1780221099.7274284,34.172
1780221099.7328193,34.173
1780221099.7382052,34.173
1780221099.7434223,34.174
1780221099.7490473,34.175
1780221099.754436,34.17
1780221099.7598476,34.171
1780221099.7650673,34.171
1780221099.770681,34.172
1780221099.7760713,34.168
1780221099.7814784,34.169
1780221099.7868552,34.169
1780221099.7922692,34.17
1780221099.7977004,34.171
1780221099.8030849,34.166
1780221099.8086178,34.167
1780221099.8139853,34.166
1780221099.8201306,34.167
1780221099.8258374,34.162
1780221099.8313913,34.162
1780221099.836983,34.162
1780221099.84277,34.163
1780221099.8481262,34.164
1780221099.8535275,34.158
1780221099.8589065,34.159
1780221099.8643088,34.159
1780221099.8697402,34.16
1780221099.8750796,34.156
1780221099.8803003,34.157
1780221099.8859081,34.157
1780221099.8911078,34.158
1780221099.8967354,34.16
1780221099.9021654,34.155
1780221099.907538,34.156
1780221099.9129224,34.157
1780221099.9183586,34.158
1780221099.9237843,34.154
1780221099.9291654,34.155
1780221099.9345427,34.156
1780221099.9399347,34.156
1780221099.94514,34.158
1780221099.950716,34.153
1780221099.955915,34.154
1780221099.961543,34.154
1780221099.9667401,34.155
1780221099.972326,34.153
1780221099.9775572,34.151
1780221099.98317,34.152
1780221099.9885547,34.152
1780221099.9939494,34.153
1780221099.9991481,34.149
1780221100.0047596,34.15
1780221100.0099642,34.151
1780221100.0155892,34.151
1780221100.0209763,34.15
1780221100.0263715,34.148
1780221100.0315645,34.148
1780221100.0371785,34.149
1780221100.0424159,34.15
1780221100.047989,34.145
1780221100.0532072,34.146
1780221100.0589495,34.146
1780221100.0643685,34.146
1780221100.0699358,34.144
1780221100.075632,34.142
1780221100.0810304,34.143
1780221100.08642,34.144
1780221100.0916615,34.145
1780221100.0972176,34.14
1780221100.1026256,34.141
1780221100.1080165,34.142
1780221100.1132593,34.143
1780221100.1189172,34.145
1780221100.1242654,34.14
1780221100.1296585,34.141
1780221100.135039,34.141
1780221100.1404805,34.142
1780221100.1458979,34.138
1780221100.1512704,34.138
1780221100.1566646,34.139
1780221100.1620681,34.14
1780221100.167506,34.142
1780221100.1729436,34.137
1780221100.1783013,34.137
1780221100.1836739,34.138
1780221100.1888757,34.139
1780221100.1944504,34.135
1780221100.1996524,34.136
1780221100.2052786,34.136
1780221100.2106707,34.137
1780221100.216119,34.139
1780221100.2215443,34.134
1780221100.2268748,34.135
1780221100.2323937,34.135
1780221100.2384648,34.137
1780221100.2437344,34.132
1780221100.2490861,34.135
1780221100.2546306,34.138
1780221100.260006,34.142
1780221100.2653623,34.145
1780221100.2708137,34.144
1780221100.2761664,34.146
1780221100.2815838,34.147
1780221100.2869303,34.148
1780221100.292581,34.146
1780221100.297883,34.147
1780221100.3032286,34.148
1780221100.3085926,34.149
1780221100.3140295,34.151
1780221100.3193722,34.146
1780221100.3247821,34.147
1780221100.3301346,34.148
1780221100.3353808,34.149
1780221100.3409708,34.146
1780221100.3464117,34.147
1780221100.3518195,34.148
1780221100.3572116,34.149
1780221100.3626087,34.151
1780221100.368021,34.147
1780221100.3734286,34.148
1780221100.378864,34.149
1780221100.3841949,34.15
1780221100.3895984,34.147
1780221100.395003,34.148
1780221100.4004915,34.149
1780221100.4058437,34.15
1780221100.4112415,34.151
1780221100.4165962,34.148
1780221100.4220366,34.149
1780221100.427472,34.15
1780221100.4328966,34.151
1780221100.4382048,34.148
1780221100.443614,34.149
1780221100.449048,34.15
1780221100.4545095,34.151
1780221100.4598734,34.152
1780221100.4652781,34.148
1780221100.4706087,34.149
1780221100.4758556,34.15
1780221100.4814944,34.151
1780221100.4868848,34.148
1780221100.4922776,34.149
1780221100.4976902,34.15
1780221100.5030155,34.151
