timestamp,gpu_power_w
1780221335.198713,27.089
1780221335.204404,27.079
1780221335.2096598,27.087
1780221335.2149756,27.096
1780221335.2201517,27.108
1780221335.2262793,27.12
1780221335.232191,27.132
1780221335.2381215,27.143
1780221335.244027,27.152
1780221335.2493017,27.164
1780221335.2547038,27.173
1780221335.2601585,27.185
1780221335.2657702,27.196
1780221335.2716558,27.206
1780221335.2769089,27.22
1780221335.2822726,27.228
1780221335.287721,27.24
1780221335.2931259,27.249
1780221335.2985766,28.005
1780221335.3038936,28.015
1780221335.309287,28.033
1780221335.3146682,28.051
1780221335.3201697,28.055
1780221335.3256583,28.06
1780221335.331723,28.063
1780221335.3372903,28.063
1780221335.343568,28.062
1780221335.3492162,28.061
1780221335.354643,28.06
1780221335.360378,28.061
1780221335.3657534,28.061
1780221335.371106,28.065
1780221335.376606,28.064
1780221335.382368,28.061
1780221335.3882227,28.061
1780221335.3942273,28.06
1780221335.4001622,28.06
1780221335.4053807,28.06
1780221335.410763,28.06
1780221335.4162242,28.059
1780221335.4216146,28.06
1780221335.4276116,28.059
1780221335.4333642,28.057
1780221335.4391053,28.055
1780221335.4448993,28.052
1780221335.450385,28.051
1780221335.4558794,28.051
1780221335.461478,28.053
1780221335.4674747,28.056
1780221335.4734447,28.055
1780221335.479347,28.055
1780221335.484605,28.054
1780221335.4900258,28.053
1780221335.4954803,28.052
1780221335.5008097,28.052
1780221335.5062292,28.05
1780221335.5116484,28.051
1780221335.5170043,28.05
1780221335.5224557,28.05
1780221335.5278385,28.049
1780221335.5334315,28.048
1780221335.5393395,28.047
1780221335.5446377,28.047
1780221335.5500102,28.047
1780221335.5554478,28.046
1780221335.561207,28.047
1780221335.567234,28.047
1780221335.5731122,28.046
1780221335.57902,28.046
1780221335.5842526,28.045
1780221335.589663,28.044
1780221335.5951135,28.045
1780221335.6004772,28.043
1780221335.6065178,28.043
1780221335.6126997,28.045
1780221335.618562,28.045
1780221335.6238763,28.044
1780221335.6292362,28.044
1780221335.6347961,28.043
1780221335.6402757,28.043
1780221335.6460886,28.043
1780221335.6515021,28.042
1780221335.6568868,28.043
1780221335.662341,28.042
1780221335.6679533,28.041
1780221335.6738727,28.04
1780221335.67938,28.04
1780221335.6848702,28.039
1780221335.6905248,28.039
1780221335.69591,28.039
1780221335.70143,28.04
1780221335.7067645,28.04
1780221335.7121308,28.039
1780221335.7178228,28.038
1780221335.7241464,28.037
1780221335.7302213,28.036
1780221335.7355857,28.037
1780221335.7408712,28.037
1780221335.7461076,28.037
1780221335.751747,28.038
1780221335.7571366,28.037
1780221335.762537,28.037
1780221335.7679915,28.036
1780221335.773612,28.035
1780221335.7795117,28.035
1780221335.7847476,28.036
1780221335.7901044,28.034
1780221335.7956414,28.034
1780221335.8013895,28.032
1780221335.8070314,28.032
1780221335.8127828,28.031
1780221335.819091,28.03
1780221335.8250492,28.029
1780221335.8304098,28.03
1780221335.8357353,28.029
1780221335.8409712,28.032
1780221335.846618,28.032
1780221335.8519962,28.031
1780221335.8573532,28.03
1780221335.8627868,28.029
1780221335.8682077,28.029
1780221335.873637,28.029
1780221335.8789659,28.029
1780221335.8844204,28.028
1780221335.8899274,28.029
1780221335.8952558,28.029
1780221335.900641,28.028
1780221335.906306,28.027
1780221335.912146,28.025
1780221335.9176967,28.023
1780221335.9234898,28.024
1780221335.9288127,28.022
1780221335.9343204,28.023
1780221335.9396744,28.022
1780221335.9452891,28.022
1780221335.951211,28.021
1780221335.9565117,28.02
1780221335.962248,28.019
1780221335.9677842,28.018
1780221335.9733527,28.019
1780221335.978602,28.017
1780221335.9837914,28.017
1780221335.9894125,28.016
1780221335.994803,28.016
1780221336.0002613,28.015
1780221336.0056605,28.014
1780221336.0110333,28.014
1780221336.0164294,28.014
1780221336.0218077,28.015
1780221336.0270114,28.012
1780221336.0326598,28.013
1780221336.0388033,28.012
1780221336.0447273,28.011
1780221336.0501084,28.011
1780221336.0555146,28.01
1780221336.0609307,28.01
1780221336.0662901,28.011
1780221336.0716836,28.008
