timestamp,gpu_power_w
1780221692.489461,53.253
1780221692.4947371,54.021
1780221692.500305,54.012
1780221692.5055656,54.012
1780221692.511108,54.01
1780221692.5165596,54.003
1780221692.5221002,54.015
1780221692.52742,54.011
1780221692.5327244,54.009
1780221692.5381727,54.009
1780221692.5435407,54.011
1780221692.5489836,54.013
1780221692.5543442,54.009
1780221692.5598023,54.011
1780221692.5651417,54.011
1780221692.5705853,54.01
1780221692.5758994,54.008
1780221692.5811732,54.009
1780221692.586743,54.008
1780221692.5919952,54.013
1780221692.5975652,54.009
1780221692.6030025,54.011
1780221692.6084135,54.012
1780221692.6138508,54.011
1780221692.619174,54.008
1780221692.624643,54.006
1780221692.630107,54.009
1780221692.6354668,54.013
1780221692.6408,54.009
1780221692.6462467,54.01
1780221692.651704,54.011
1780221692.6570404,54.01
1780221692.662411,54.008
1780221692.6678653,54.008
1780221692.6732013,54.009
1780221692.6786485,54.012
1780221692.684,54.009
1780221692.6894588,54.008
1780221692.6947997,54.011
1780221692.7002456,54.01
1780221692.705602,54.008
1780221692.7110531,54.008
1780221692.716407,54.009
1780221692.7218573,54.01
1780221692.7271988,54.008
1780221692.7324631,54.008
1780221692.7380533,54.01
1780221692.7435696,54.006
1780221692.7489698,54.008
1780221692.7543106,54.008
1780221692.7596216,54.009
1780221692.7650816,54.011
1780221692.7704365,54.007
1780221692.776029,54.009
1780221692.7813258,54.01
1780221692.7867231,54.009
1780221692.792029,54.007
1780221692.7975054,54.004
1780221692.80296,54.007
1780221692.8083386,54.01
1780221692.813663,54.007
1780221692.819107,54.009
1780221692.8244627,54.01
1780221692.8300486,53.249
1780221692.8360362,53.248
1780221692.8417184,53.252
1780221692.847397,53.252
1780221692.8533332,53.252
1780221692.8593743,53.252
1780221692.8649395,53.252
1780221692.8704855,53.252
1780221692.8763356,53.252
1780221692.882213,53.252
1780221692.8882892,53.252
1780221692.8943036,53.252
1780221692.9002316,53.252
1780221692.906222,53.252
1780221692.912242,53.252
1780221692.9182954,53.252
1780221692.9241955,53.252
1780221692.9297726,53.252
1780221692.9355018,53.252
1780221692.9413292,53.252
1780221692.947002,53.252
1780221692.952998,53.252
1780221692.9591842,53.252
1780221692.9649935,53.251
1780221692.9711916,53.252
1780221692.976992,53.252
1780221692.983147,53.252
1780221692.9890268,53.252
1780221692.995018,53.253
1780221693.0011044,53.252
1780221693.0071435,53.252
1780221693.0131657,53.253
1780221693.0189679,53.253
1780221693.0250554,53.252
1780221693.031147,53.251
1780221693.0371861,53.253
1780221693.0430639,53.252
1780221693.0491161,53.252
1780221693.055126,53.253
1780221693.0610585,53.252
1780221693.0670629,53.253
1780221693.0731556,53.252
1780221693.079193,53.252
1780221693.0850565,53.252
1780221693.0906224,53.253
1780221693.096222,53.252
1780221693.1020148,53.252
1780221693.1079752,53.252
1780221693.1138992,53.252
1780221693.1200025,53.253
1780221693.12581,53.252
1780221693.1314201,53.252
1780221693.137083,53.253
1780221693.142862,53.253
1780221693.148774,53.252
1780221693.154667,53.252
1780221693.1607902,53.253
1780221693.1667547,53.253
1780221693.1728354,53.253
1780221693.1787167,53.253
1780221693.1847162,53.253
1780221693.1907997,53.253
1780221693.1966705,53.252
1780221693.2027705,53.253
1780221693.2087367,53.253
1780221693.214811,53.253
1780221693.220793,53.253
1780221693.2267723,53.253
1780221693.2327409,53.253
1780221693.2388177,53.253
1780221693.2447357,53.253
1780221693.2507882,53.253
1780221693.256779,53.253
1780221693.262771,53.252
1780221693.2687232,53.253
1780221693.2748373,53.253
1780221693.2807562,53.253
1780221693.2867687,53.253
1780221693.2927577,53.253
1780221693.2987247,53.253
1780221693.3048773,53.253
1780221693.3107612,53.253
1780221693.316801,53.253
1780221693.3228498,53.253
1780221693.328869,53.253
1780221693.3347511,53.253
1780221693.3408341,53.253
1780221693.3468006,53.253
1780221693.3527668,53.253
1780221693.3587718,53.253
1780221693.3647249,53.253
1780221693.3709137,53.253
1780221693.3767283,53.253
1780221693.3823504,53.253
1780221693.3879404,53.253
1780221693.3936522,53.253
1780221693.399723,53.253
1780221693.4056218,53.253
1780221693.4116735,53.253
1780221693.417625,53.253
1780221693.423549,53.253
1780221693.429225,53.253
1780221693.4349005,53.253
1780221693.4405494,53.253
1780221693.4463985,53.253
1780221693.4519813,53.253
1780221693.457626,53.253
1780221693.4633806,53.253
1780221693.4691944,53.253
1780221693.4747794,53.253
1780221693.4804213,53.253
1780221693.4859521,53.253
1780221693.4915123,53.254
1780221693.4969378,53.254
1780221693.5029714,53.253
1780221693.5088758,53.253
1780221693.5148177,53.253
1780221693.5209484,53.253
1780221693.5268133,53.253
1780221693.532887,53.254
1780221693.5388541,53.254
1780221693.5449376,53.253
1780221693.5507302,53.253
1780221693.5568728,53.253
1780221693.5627956,53.254
1780221693.5690148,53.253
1780221693.5748596,53.253
1780221693.5808542,53.254
1780221693.5863793,53.253
1780221693.5919492,53.253
1780221693.5978131,53.254
1780221693.603645,53.254
1780221693.6097639,53.254
1780221693.615711,53.253
1780221693.6216185,53.253
1780221693.6272845,53.254
1780221693.6329124,53.254
1780221693.6385698,53.253
1780221693.644486,53.253
1780221693.6500542,53.254
1780221693.6557255,53.254
1780221693.661422,53.254
1780221693.6673021,53.254
1780221693.6733315,53.254
1780221693.679355,53.253
1780221693.6853554,53.254
1780221693.6912732,53.253
1780221693.6973667,53.253
1780221693.7034025,53.254
1780221693.709306,53.253
1780221693.7148983,53.254
1780221693.7205162,53.254
1780221693.7261615,53.253
1780221693.7320557,53.254
1780221693.73771,53.253
1780221693.7433796,53.254
1780221693.7488434,53.254
1780221693.7549684,53.254
1780221693.760854,53.254
1780221693.767066,53.254
1780221693.7728434,53.254
1780221693.7789366,53.254
1780221693.7850335,53.254
1780221693.7909513,53.253
1780221693.7970176,53.254
1780221693.8030035,53.254
1780221693.8089752,53.254
1780221693.8149128,53.254
1780221693.8209753,53.254
1780221693.826904,53.254
1780221693.833102,53.254
1780221693.838923,53.254
1780221693.8449879,53.254
1780221693.8509986,53.254
1780221693.8570106,53.253
1780221693.8629534,53.254
1780221693.8690512,53.254
1780221693.8750412,53.254
1780221693.8809805,53.254
1780221693.8865495,53.254
1780221693.8922818,53.254
1780221693.8980854,53.254
1780221693.903741,53.254
1780221693.9093592,53.254
1780221693.9149904,53.254
1780221693.9206932,53.254
1780221693.9265535,53.254
1780221693.9326816,53.254
1780221693.938752,53.254
1780221693.9446037,53.254
1780221693.9501617,53.254
1780221693.9557676,53.253
1780221693.961475,53.254
1780221693.9673543,53.254
1780221693.9729533,53.254
1780221693.9785523,53.254
1780221693.984131,53.254
1780221693.98978,53.253
1780221693.9954252,53.254
1780221694.0011709,53.254
1780221694.0071585,53.254
1780221694.0129998,53.254
1780221694.019147,53.254
1780221694.0251021,53.254
1780221694.031169,53.254
1780221694.0370734,53.254
1780221694.0431662,53.254
1780221694.04899,53.254
1780221694.0551097,53.253
1780221694.0610888,53.254
1780221694.067171,53.254
1780221694.072992,53.254
1780221694.0790627,53.254
1780221694.0851061,53.254
1780221694.0911555,53.254
1780221694.0969827,53.254
1780221694.1026375,53.254
1780221694.1083121,53.254
1780221694.113808,53.254
1780221694.1193497,53.254
1780221694.1246755,53.254
1780221694.1307774,53.254
1780221694.1366205,53.254
1780221694.142634,53.254
1780221694.148735,53.254
1780221694.1547148,53.254
1780221694.1607394,53.254
1780221694.166738,53.254
1780221694.1727712,53.254
1780221694.178731,53.254
1780221694.1847322,53.254
1780221694.190725,53.255
1780221694.19681,53.254
1780221694.2027297,53.254
1780221694.208753,53.254
1780221694.2148025,53.254
1780221694.2207236,53.254
1780221694.2266545,53.255
1780221694.2322698,53.255
1780221694.2379935,53.255
1780221694.243594,53.254
1780221694.2496266,53.254
1780221694.2556279,53.255
1780221694.2617142,53.254
1780221694.2675197,53.254
1780221694.2736678,53.254
1780221694.2794664,53.255
1780221694.2850187,53.255
1780221694.2903683,53.254
1780221694.2964044,53.254
1780221694.3022482,53.254
1780221694.308346,53.255
1780221694.3143897,53.254
1780221694.3203816,53.254
1780221694.3262837,53.255
1780221694.3323998,53.254
1780221694.338694,53.254
1780221694.3443673,53.254
1780221694.3503578,53.255
1780221694.356359,53.255
1780221694.3624315,53.254
1780221694.3683753,53.255
1780221694.3739653,53.254
1780221694.3796256,53.254
1780221694.385234,53.254
1780221694.3911529,53.254
1780221694.3972654,53.254
1780221694.4032676,53.255
1780221694.4091814,53.254
1780221694.4147499,53.254
1780221694.4203808,53.255
1780221694.4261065,53.254
1780221694.43199,53.254
1780221694.4375978,53.254
1780221694.4432526,53.255
1780221694.4488115,53.255
1780221694.4548979,53.255
1780221694.460853,53.254
1780221694.4668505,53.254
1780221694.4728425,53.254
1780221694.4783819,53.254
1780221694.4840024,53.254
1780221694.4897544,53.255
1780221694.4956286,53.255
1780221694.5017252,53.255
1780221694.5076854,53.254
1780221694.5135489,53.255
1780221694.519179,53.254
1780221694.524828,53.255
1780221694.5305135,53.254
1780221694.5364342,53.254
1780221694.5420136,53.254
1780221694.5476353,53.255
1780221694.5532258,53.255
1780221694.5593314,53.255
1780221694.5653028,53.254
1780221694.5713708,53.254
1780221694.5772018,53.255
1780221694.5833,53.254
