timestamp,gpu_power_w
1780222012.1890857,50.026
1780222012.1943371,50.038
1780222012.1997123,50.041
1780222012.2050593,50.045
1780222012.210272,50.05
1780222012.2158246,50.054
1780222012.221064,50.061
1780222012.2266066,50.062
1780222012.231829,50.067
1780222012.237439,50.071
1780222012.2426581,50.076
1780222012.2482321,50.08
1780222012.2534714,50.086
1780222012.2589886,50.088
1780222012.2641902,50.093
1780222012.269769,50.097
1780222012.2749684,50.102
1780222012.2806036,50.105
1780222012.2858393,50.111
1780222012.2913685,50.113
1780222012.296584,50.118
1780222012.3021548,50.12
1780222012.307371,50.126
1780222012.313005,50.13
1780222012.3182344,50.135
1780222012.3238068,50.137
1780222012.3290157,50.142
1780222012.334551,50.145
1780222012.339781,50.15
1780222012.3453968,50.154
1780222012.35064,50.158
1780222012.3561673,50.16
1780222012.3613763,50.164
1780222012.3669407,50.169
1780222012.3721533,50.174
1780222012.3777814,50.177
1780222012.3830087,50.182
1780222012.3885684,50.184
1780222012.3937738,50.188
1780222012.3993247,50.192
1780222012.404529,50.196
1780222012.410114,50.2
1780222012.4153662,50.202
1780222012.4209719,50.205
1780222012.426178,50.211
1780222012.4317586,50.214
1780222012.436971,50.218
1780222012.442554,50.222
1780222012.4477718,50.226
1780222012.4533622,50.228
1780222012.4585817,50.232
1780222012.4641004,50.236
1780222012.46931,50.24
1780222012.4750774,50.241
1780222012.4804158,50.248
1780222012.485724,50.249
1780222012.4909494,50.254
1780222012.496523,51.001
1780222012.5017452,51.004
1780222012.507271,51.008
1780222012.512507,51.012
1780222012.518124,51.014
1780222012.523343,51.018
1780222012.5289004,51.021
1780222012.5341253,51.025
1780222012.5397046,51.029
1780222012.5449386,51.032
1780222012.550492,51.034
1780222012.5557156,51.038
1780222012.561246,51.04
1780222012.5664835,51.045
1780222012.5720768,51.049
1780222012.5773249,51.051
1780222012.5828757,51.054
1780222012.5881016,51.057
1780222012.5936306,51.06
1780222012.5988486,51.064
1780222012.6044288,51.068
1780222012.609668,51.07
1780222012.6152716,51.072
1780222012.620502,51.077
1780222012.6260538,51.079
1780222012.631286,51.082
1780222012.6368666,51.087
1780222012.642109,51.088
1780222012.6476495,51.091
1780222012.6528726,51.095
1780222012.658446,51.097
1780222012.6636665,51.101
1780222012.6692052,51.105
1780222012.6744468,51.106
1780222012.6800354,51.109
1780222012.6852524,51.113
1780222012.6907983,51.115
1780222012.6960118,51.119
1780222012.7017596,51.121
1780222012.7071075,51.124
1780222012.712425,51.127
1780222012.7176552,51.13
1780222012.7232141,51.132
1780222012.7284398,51.136
1780222012.734074,51.14
1780222012.7394848,51.141
1780222012.7448006,51.144
1780222012.7500286,51.147
1780222012.7555597,51.149
1780222012.7607942,51.152
1780222012.7665327,51.156
1780222012.7718768,51.157
1780222012.7771816,51.161
1780222012.7824025,51.164
1780222012.7879782,51.166
1780222012.7931988,51.169
1780222012.7987764,51.174
1780222012.8040102,51.174
1780222012.8095467,51.177
1780222012.814763,51.18
1780222012.8205414,51.18
1780222012.825919,51.186
1780222012.831167,51.189
1780222012.8366344,51.189
1780222012.8419402,51.193
1780222012.8471615,51.196
1780222012.852703,51.197
1780222012.8580015,51.2
1780222012.8634977,51.205
1780222012.86872,51.205
1780222012.8742986,51.208
1780222012.879528,51.211
1780222012.885141,51.213
1780222012.8903637,51.215
1780222012.8959372,51.22
1780222012.9011645,51.22
1780222012.906684,51.222
1780222012.9119124,51.226
1780222012.917522,51.227
1780222012.9227498,51.229
1780222012.9283123,51.234
1780222012.9335306,51.234
1780222012.9392884,51.234
1780222012.945611,51.228
1780222012.9513757,51.225
1780222012.9573615,51.226
1780222012.9633749,51.226
1780222012.9693723,51.224
1780222012.9753323,51.222
1780222012.9813626,51.22
1780222012.9873397,51.217
1780222012.9933965,51.215
1780222012.9993026,51.212
1780222013.005357,51.21
1780222013.011368,51.208
1780222013.0173686,51.206
1780222013.023342,51.203
1780222013.0292432,51.201
1780222013.0352442,51.199
1780222013.0413775,51.196
1780222013.0472853,51.194
1780222013.0533764,51.192
1780222013.059186,51.189
1780222013.0653806,51.187
1780222013.0713613,51.185
1780222013.077375,51.183
1780222013.0833457,51.181
1780222013.089289,51.179
1780222013.095285,51.177
1780222013.10136,51.174
1780222013.1072705,51.172
1780222013.1133022,51.17
1780222013.1192713,51.168
1780222013.125333,51.166
1780222013.1313183,51.164
1780222013.1372287,51.162
1780222013.143214,51.16
1780222013.1493168,51.158
1780222013.155214,51.156
1780222013.1613429,51.154
1780222013.167131,51.152
1780222013.1733153,51.15
1780222013.17926,51.148
1780222013.1853113,51.146
1780222013.1913009,51.144
1780222013.197235,51.142
1780222013.2031746,51.14
1780222013.2093163,51.138
1780222013.2152216,51.136
1780222013.2212842,51.134
1780222013.2270315,51.132
1780222013.2333164,51.13
1780222013.2392557,51.128
1780222013.2452774,51.126
1780222013.2512438,51.124
1780222013.257234,51.122
1780222013.2631264,51.12
1780222013.2693014,51.119
1780222013.2751734,51.116
1780222013.2812154,51.115
1780222013.2869744,51.113
1780222013.2932374,51.111
1780222013.2992299,51.109
1780222013.305253,51.107
1780222013.3112288,51.105
1780222013.317187,51.103
1780222013.3231187,51.102
1780222013.329229,51.1
1780222013.3351321,51.098
1780222013.3411732,51.096
1780222013.3470953,51.094
1780222013.3531718,51.093
1780222013.3591843,51.091
1780222013.365212,51.089
1780222013.3711948,51.087
1780222013.3771784,51.085
1780222013.383134,51.084
1780222013.3892226,51.082
1780222013.395069,51.08
1780222013.4011362,51.079
1780222013.4071505,51.077
1780222013.4131548,51.075
1780222013.419095,51.073
1780222013.4251475,51.072
1780222013.4311237,51.07
1780222013.4372106,51.069
1780222013.443079,51.067
1780222013.4491775,51.066
1780222013.454956,51.064
1780222013.4611735,51.063
1780222013.4671514,51.061
1780222013.4731176,51.059
1780222013.4789767,51.058
1780222013.485121,51.056
1780222013.4911568,51.054
1780222013.4971778,51.053
1780222013.5030675,51.052
1780222013.5090714,51.05
1780222013.5150573,51.049
1780222013.5210865,51.047
1780222013.5270798,51.045
1780222013.5330734,51.044
1780222013.539068,51.043
1780222013.5450573,51.041
1780222013.5511036,51.039
1780222013.5571396,51.038
1780222013.5629783,51.036
1780222013.5690398,51.035
1780222013.575074,51.034
1780222013.581044,51.032
1780222013.587045,51.03
1780222013.593005,51.029
1780222013.5990255,51.028
1780222013.6050332,51.027
1780222013.61108,51.025
1780222013.6171174,51.024
1780222013.6229434,51.023
1780222013.6290092,51.021
1780222013.6349857,51.02
1780222013.6410663,51.018
1780222013.6469913,51.017
1780222013.6529863,51.015
1780222013.6590114,51.014
1780222013.6650035,51.013
1780222013.6710465,51.011
1780222013.6770754,51.01
1780222013.6829708,51.008
1780222013.6889787,51.007
1780222013.694975,51.006
1780222013.7010233,51.004
1780222013.7069483,51.003
1780222013.712974,51.002
1780222013.719004,51.0
1780222013.7249894,50.255
1780222013.7310567,50.253
1780222013.7371082,50.253
1780222013.742955,50.251
1780222013.74898,50.25
1780222013.7549653,50.249
1780222013.761011,50.248
1780222013.766984,50.247
1780222013.77297,50.246
1780222013.7789717,50.244
1780222013.784911,50.243
1780222013.791009,50.241
1780222013.7970202,50.24
1780222013.8029366,50.239
1780222013.8089561,50.238
1780222013.8148854,50.237
1780222013.8209462,50.236
1780222013.826962,50.235
1780222013.8329453,50.233
1780222013.8389058,50.232
1780222013.8449185,50.231
1780222013.8509874,50.23
1780222013.8569343,50.229
1780222013.862903,50.227
1780222013.8689258,50.227
1780222013.8746958,50.226
1780222013.8809597,50.225
1780222013.8869748,50.223
1780222013.892917,50.222
1780222013.898738,50.221
1780222013.904893,50.22
1780222013.9109383,50.219
1780222013.9169455,50.218
1780222013.9228966,50.217
